System,Motor Type,Motor Name, Type,CAN ID (IDEAL)
Swerve Drive,Drive Motor,Front Left Drive,SparkFlex Vortex,1
Swerve Drive,Drive Motor,Front Right Drive,SparkFlex Vortex,3
Swerve Drive,Drive Motor,Back Left Drive,SparkFlex Vortex,5
Swerve Drive,Drive Motor,Back Right Drive,SparkFlex Vortex,7
Swerve Drive,Steering Motor,Front Left Angle,SparkMax Neo550,2
Swerve Drive,Steering Motor,Front Right Angle,SparkMax Neo550,4
Swerve Drive,Steering Motor,Back Left Angle,SparkMax Neo550,6
Swerve Drive,Steering Motor,Back Right Angle,SparkMax Neo550,8
Shooter,Primary Motor,Right Shooter 1,SparkFlex,9  
Shooter,Primary Motor,Right Shooter 2,SparkFlex,10
Shooter,Primary Motor,Left Shooter 1,SparkFlex,11
Shooter,Primary Motor,Left Shooter 2,SparkFlex,12
Kicker,Secondary Motor,Kicker L,SparkFlex,13
Kicker,Secondary Motor,Kicker R,SparkFlex,14
Hood,DriveMotor,Hood,SparkFlex,15
Belts,DriveMotor,Belts Left,SparkFLex,16
Belts,DriveMotor,Belts Right,SparkFLex,17
Slapdown,DriveMotor,Slapdown,SparkFlex,18
Intake,Drive Motor,Intake,SparkFlex,19

